workload,bs,bs_bytes,qd,iops,bw_mibps,lat_mean_us,lat_p99_us
sequentialwrite,4k,4096,8,132984.603079,519.4711055755615,60.002933512000006,880.64
sequentialwrite,4k,4096,16,313034.193161,1222.7898168563843,50.956925856000005,280.576
sequentialwrite,4k,4096,32,531487.70246,2076.1238374710083,60.044388190999996,464.896
sequentialwrite,4k,4096,64,531614.554178,2076.619351387024,120.22352015300001,1204.224
sequentialwrite,4k,4096,128,518718.712515,2026.2449703216553,246.614296076,2113.536
sequentialwrite,4k,4096,256,518453.546454,2025.2091655731201,493.554802573,4292.608
sequentialwrite,8k,8192,1,24588.082384,192.09439277648926,40.495819176,236.544
sequentialwrite,8k,8192,2,48361.527694,377.8244342803955,41.18577494,238.592
sequentialwrite,8k,8192,4,97719.856029,763.4363746643066,40.76926623,238.592
sequentialwrite,8k,8192,8,184796.640672,1443.7237548828125,43.129864516000005,240.64
sequentialwrite,8k,8192,16,260203.759248,2032.8418684005737,61.323448679,452.608
sequentialwrite,8k,8192,32,267586.082783,2090.5162715911865,119.420105152,995.328
sequentialwrite,8k,8192,64,269441.023591,2105.007996559143,237.370003809,2113.536
sequentialwrite,8k,8192,128,273644.884093,2137.8506565093994,467.56945857,3817.472
sequentialwrite,8k,8192,256,273594.648562,2137.458191871643,935.3961927820001,7438.336
sequentialwrite,16k,16384,1,21682.063587,338.7822427749634,45.951899540999996,246.784
sequentialwrite,16k,16384,2,44898.220356,701.5346927642822,44.382371232,244.736
sequentialwrite,16k,16384,4,86033.793241,1344.278018951416,46.332855748,292.864
sequentialwrite,16k,16384,8,126085.948431,1970.0929441452026,63.28595645,464.896
sequentialwrite,16k,16384,16,129770.045991,2027.6569681167603,123.133726366,1056.768
sequentialwrite,16k,16384,32,127766.340196,1996.3490648269653,250.244265213,2007.04
sequentialwrite,16k,16384,64,128423.552894,2006.618013381958,498.178799629,3751.936
sequentialwrite,16k,16384,128,134096.046326,2095.250723838806,954.302445368,7634.944
sequentialwrite,16k,16384,256,135329.611167,2114.52517414093,1891.292850474,14876.672
sequentialwrite,32k,32768,1,12283.143371,383.84822940826416,81.222330908,317.44
sequentialwrite,32k,32768,2,25050.789842,782.8371820449829,79.661159356,296.96
sequentialwrite,32k,32768,4,45186.962607,1412.092580795288,88.345885171,362.496
sequentialwrite,32k,32768,8,63150.969806,1973.4678058624268,126.50203077100001,514.048
sequentialwrite,32k,32768,16,64454.309138,2014.1971597671509,248.06801535,1220.608
sequentialwrite,32k,32768,32,65269.238457,2039.663701057434,490.00826686600004,2310.144
sequentialwrite,32k,32768,64,64709.221271,2022.163164138794,988.733034995,4292.608
sequentialwrite,32k,32768,128,63100.576426,1971.8930130004883,2027.865573362,13172.736
sequentialwrite,32k,32768,256,61831.904287,1932.2470083236694,4139.571639379,30539.776
sequentialwrite,64k,65536,1,6165.166967,385.3229351043701,161.96587389700002,448.512
sequentialwrite,64k,65536,2,12463.907219,778.9942007064819,160.263864805,411.648
sequentialwrite,64k,65536,4,21650.669866,1353.1668663024902,184.55369301300001,423.936
sequentialwrite,64k,65536,8,29516.896621,1844.806037902832,270.82807988400003,839.68
sequentialwrite,64k,65536,16,29412.517497,1838.2823429107666,543.799755819,2072.576
sequentialwrite,64k,65536,32,31101.139316,1943.8212070465088,1028.522778321,2834.432
sequentialwrite,64k,65536,64,31581.218781,1973.8261737823486,2025.946155393,5210.112
sequentialwrite,64k,65536,128,33464.85623,2091.5535135269165,3824.238357248,9764.864
sequentialwrite,64k,65536,256,24492.475248,1530.7797021865845,10448.874002749,60030.976
sequentialwrite,128k,131072,1,2715.656869,339.45710849761963,367.926679626,1794.048
sequentialwrite,128k,131072,2,5906.818636,738.3523292541504,338.324120345,610.304
sequentialwrite,128k,131072,4,10537.092581,1317.1365718841553,379.366668153,659.456
sequentialwrite,128k,131072,8,12618.239872,1577.2799835205078,633.6269875529999,8454.144
sequentialwrite,128k,131072,16,14018.392643,1752.2990798950195,1141.066457958,7766.016
sequentialwrite,128k,131072,32,14784.301977,1848.0377464294434,2164.132648551,8847.36
sequentialwrite,128k,131072,64,15114.040344,1889.2550420761108,4233.34923154,17694.72
sequentialwrite,128k,131072,128,14363.509472,1795.4386835098267,8909.903572904,41156.608
sequentialwrite,128k,131072,256,11250.596184,1406.324522972107,22745.986767685998,99090.432
sequentialwrite,256k,262144,1,2233.553289,558.3883218765259,447.427104834,3325.952
sequentialwrite,256k,262144,2,4288.342332,1072.0855827331543,466.105587988,4358.144
sequentialwrite,256k,262144,4,5962.607479,1490.6518688201904,670.5863647,6914.048
sequentialwrite,256k,262144,8,6554.178329,1638.544581413269,1220.252311341,6651.904
sequentialwrite,256k,262144,16,6590.846047,1647.7115116119385,2425.933564123,13434.88
sequentialwrite,256k,262144,32,7235.176682,1808.7941703796387,4421.528931762,9371.648
sequentialwrite,256k,262144,64,7230.46252,1807.615629196167,8849.187737344,20578.304
sequentialwrite,256k,262144,128,6359.107214,1589.7768030166626,20122.770254246,87556.096
sequentialwrite,256k,262144,256,3289.668898,822.4172239303589,77764.431162743,566231.04
